date,country,os,vertical,creative_format,cpm,cpi,ftd_rate,cftd,avg_user_spend,gross_spend_usd,spend_share,unique_bundle_count,,,,,,WITH main as (WITH fact_dsp_creative AS (
2025-07-26,USA,ANDROID,RMG,Video,63.28735409,28.4935825,0.01058201058,2965.18835,322.7824775,55322.81865,0.950923088,23,,,,,,THEN 'Statics'
2024-08-11,USA,IOS,RMG,Video,40.04855196,25.8331508,0.1015148147,889.784124,310.2948504,164914.6469,0.879044283,23,,,,,,"WHEN creative.format IN ('ri', 'rb')"
2024-08-30,USA,IOS,RMG,Statics,0.772739786,20.53785022,0.06930213633,175.2579246,181.4314092,64904.2316,0.565739721,14,,,,,,THEN 'Playables'
2024-10-31,USA,IOS,RMG,Statics,0.488343538,32.08153739,0.03822222222,848.5719572,295.3196332,48748.43248,0.522671391,13,,,,,,"END AS creative_format,"
2024-12-08,USA,IOS,Sportsbetting,Video,19.224366,54.30539613,0.08264728376,454.142756,309.2716571,61009.15004,0.690176128,4,,,,,,"sum(kpi_actions_d7) as kpi_actions_d7,"
2025-01-06,USA,ANDROID,RMG,Video,71.39622714,14.68752804,0.02784837862,2285.530039,278.1753619,79532.40222,0.916262512,28,,,,,,sum(installs) as installs
2025-02-08,USA,ANDROID,RMG,Playables,63.46600033,7.675857031,0,,140.17128,3814.006714,0.79027217,3,,,,,,FROM moloco-ae-view.athena.fact_dsp_all f left join moloco-ae-view.athena.dim1_app m on f.product.app_market_bundle = m.app_market_bundle and f.campaign.os = m.os
2025-04-01,USA,IOS,RMG,Statics,0.349042471,27.41397305,0,,255.8834969,45337.78341,0.511884504,17,,,,,,left join ads-bpd-guard-sandbox.insights_engine.known_rmg_bundles a on f.product.app_market_bundle = a.app_market_bundle
2025-04-23,USA,ANDROID,RMG,Playables,52.20054567,13.59792704,,,219.7998992,8812.33294,0.557089436,3,,,,,,WHERE date(timestamp_utc) >= '2024-08-01'
2024-08-13,USA,IOS,RMG,Statics,0.363501308,22.34221826,0.07764127764,567.3231124,213.6139458,31207.00817,0.431272389,13,,,,,,and product.app_market_bundle IN
2024-10-30,USA,IOS,RMG,Statics,0.494185308,32.85643753,0.08291139241,420.2087961,225.6510152,54512.91174,0.519024847,13,,,,,,(SELECT app_market_bundle FROM ads-bpd-guard-sandbox.insights_engine.known_rmg_bundles)
2024-12-22,USA,IOS,Sportsbetting,Statics,0.8325718,24.2693591,0.08382113821,272.9230337,176.1049314,32314.8014,0.46224105,5,,,,,,"-- AND product.sub_genre IN ('Casinos & Gambling', 'Fantasy Sports', 'Sports Betting')"
2025-01-12,USA,IOS,RMG,Video,25.60769635,33.97481209,0.193014166,428.6393892,322.5140269,286513.0218,0.762607758,26,,,,,,"-- AND campaign.country IN ('GBR', 'USA','ESP','AUS','BRA','CAN','PHL','DEU')"
2025-02-10,USA,IOS,RMG,Statics,0.386453154,33.818538,0,,329.6894006,65657.03026,0.368366476,13,,,,,,AND campaign.country IN ('USA')
2025-02-22,USA,IOS,RMG,Video,44.46655989,31.70156271,0.1045151639,1325.682108,427.3343334,224535.8284,0.773463604,28,,,,,,and (UPPER(event.name) like '%FIRST%' and UPPER(event.name) like '%DEPOSIT%')
2025-04-26,USA,ANDROID,RMG,Playables,55.698765,9.770513208,0,,266.6481448,7730.073481,0.731046716,3,,,,,,
2025-07-07,USA,ANDROID,RMG,Video,69.47237404,20.46310725,0.02205882353,983.3874814,222.0452111,58432.19693,0.96046332,23,,,,,,
2025-07-10,USA,IOS,RMG,Video,35.37231289,31.5572981,0.07855670103,560.8026985,353.2127315,166527.8307,0.780547319,27,,,,,,"group by 1,2,3,4,5,6"
2025-08-02,USA,ANDROID,RMG,Video,56.74013896,19.01971368,0,,223.4673945,61369.37757,0.965252618,25,,,,,,
2024-11-02,USA,IOS,RMG,Video,38.27598092,33.18695158,0.08203522505,863.3669236,369.1060849,159426.9381,0.791213657,24,,,,,,"),"
2024-12-03,USA,ANDROID,RMG,Video,87.57788493,18.736636,0.025,1339.211998,270.2222431,84497.33903,0.857381174,27,,,,,,cohort as (
2024-12-11,USA,ANDROID,RMG,Video,78.43865644,15.57980109,0.009433962264,2584.029328,316.7182506,82803.98279,0.85840585,25,,,,,,"Select m.*, f.kpi_actions_d7,"
2025-01-28,USA,IOS,RMG,Video,44.522972,35.19902003,0.13650104,549.5127035,379.8575705,181296.6803,0.801596204,22,,,,,,"safe_divide(f.kpi_actions_d7,m.installs) as ftd_rate,"
2025-01-30,USA,IOS,RMG,Video,45.54828626,33.83958065,0.1242373347,790.5293482,415.853503,195783.2056,0.785015794,23,,,,,,"safe_divide(m.gross_spend_usd,f.kpi_actions_d7) as cftd"
2025-02-23,USA,IOS,RMG,Statics,0.387298688,32.38194371,0,,284.0900867,70179.81026,0.35478021,16,,,,,,from main m left join first_purchase f
2025-03-13,USA,IOS,Sportsbetting,Statics,0.6981665,27.50086838,0.01739130435,260.7607509,280.8879897,20266.9391,0.461468551,4,,,,,,on m.date = f.date
2025-05-27,USA,ANDROID,RMG,Video,63.28416452,18.50150255,0.04098360656,1261.069258,205.7576634,106928.1417,0.972579475,27,,,,,,and m.country = f.country
2025-07-17,USA,IOS,RMG,Statics,0.360304667,30.7038703,0.01212624585,44.26316888,249.1296366,33306.65173,0.440708711,12,,,,,,and m.os = f.os
2025-08-08,USA,ANDROID,RMG,Playables,90.37615133,13.27304888,,,133.9290963,4587.029402,0.788642213,3,,,,,,and m.vertical = f.vertical
2024-08-03,USA,IOS,RMG,Video,35.54364732,31.7140951,0.08694316436,1232.17338,415.8468329,142075.9453,0.92103878,22,,,,,,and m.creative_format = f.creative_format
2024-11-21,USA,ANDROID,RMG,Video,93.58751058,19.09588818,0.06492374728,390.1540992,233.5835329,118537.1056,0.897002283,33,,,,,,and m.fact_dsp_creative_product_app_market_bundle = f.app_market_bundle
2025-02-03,USA,IOS,RMG,Video,37.94763278,35.88222038,0.1394988739,1027.589822,458.5697385,194202.4,0.825592935,23,,,,,,where m.installs > 0 and gross_spend_usd > 0 )
2025-05-04,USA,IOS,Sportsbetting,Statics,0.65815975,61.45391688,0.03676470588,390.1316514,330.3664844,19105.49896,0.320832754,4,,,,,,", cohort2 as ("
2025-06-01,USA,IOS,RMG,Playables,61.698112,16.79329534,0,,489.2624971,24988.2782,0.68149984,8,,,,,,"Select date,"
2025-06-01,USA,IOS,RMG,Statics,2.8052188,41.67400752,0,,369.1284411,58388.28606,0.512170742,15,,,,,,"country,"
2025-07-24,USA,IOS,RMG,Video,27.83180836,42.48773585,0.05355417529,857.5230651,410.4137222,142070.6846,0.773453519,25,,,,,,"c.os,"
2024-11-08,USA,ANDROID,RMG,Video,87.50566913,21.06127707,0.05545454545,1024.883999,300.8061391,107704.759,0.854036155,32,,,,,,"vertical,"
2024-11-17,USA,ANDROID,RMG,Video,86.43352838,20.48092284,0.04032258065,1601.589891,219.9598462,118400.7721,0.868005725,29,,,,,,"creative_format,"
2025-01-17,USA,ANDROID,RMG,Video,57.51500128,16.2496664,0.08596550199,449.6872788,235.1521642,91611.52611,0.94136685,29,,,,,,"c.fact_dsp_creative_product_app_market_bundle,"
2025-02-11,USA,ANDROID,RMG,Video,67.17258059,14.8452827,0,,155.324016,97208.29024,0.941159941,22,,,,,,"cpm,"
2025-03-05,USA,IOS,RMG,Video,47.54726582,30.31746222,0.1168296561,523.6590646,303.1429629,207614.9394,0.713935112,27,,,,,,"cpi,"
2025-03-16,USA,IOS,Sportsbetting,Statics,0.64311075,53.37065896,0.01598579041,424.092189,737.8692348,31072.84772,0.551673466,4,,,,,,"installs,"
2025-03-28,USA,IOS,RMG,Statics,0.377926824,36.56795515,0,,462.1295737,61915.39552,0.514657779,17,,,,,,"kpi_actions_d7,"
2025-04-27,USA,IOS,RMG,Video,50.10921766,40.29942145,0.102041652,1365.438794,398.6580298,225450.4847,0.793381674,35,,,,,,"gross_spend_usd,"
2025-05-11,USA,ANDROID,RMG,Video,68.32037764,22.15584621,0.04756944444,795.2747055,251.8111536,122951.6568,0.931817517,33,,,,,,"avg_user_spend,"
2025-05-17,USA,ANDROID,RMG,Video,75.97322547,21.73570747,0.08158508159,600.818212,227.3091331,113153.9196,0.938216347,34,,,,,,"ftd_rate,"
2025-08-16,USA,IOS,Sportsbetting,Statics,0.8030205,31.74484708,0.02763385147,214.9059387,223.1010562,17427.80865,0.476238493,4,,,,,,"cftd as cftd,"
2025-01-15,USA,ANDROID,RMG,Video,63.02407674,17.56287998,0.05673297167,992.7267842,257.8060427,80561.86747,0.943696283,27,,,,,,"sum(gross_spend_usd) over (partition by date,country,c.os,vertical,c.fact_dsp_creative_product_app_market_bundle),"
2025-03-12,USA,IOS,RMG,Playables,53.0784415,20.57933228,0,,222.3737663,30995.93051,0.310726016,8,,,,,,"safe_divide(sum(gross_spend_usd),sum(gross_spend_usd) over (partition by date,country,c.os,vertical,c.fact_dsp_creative_product_app_market_bundle)) as spend_share"
