week_utc,week_start,week_end,os,format_type,sub_genre,n_apps,cpm_bm,ctr_bm,ipm_bm,cvr_bm,i2a_bm,cpa_bm,cpi_bm,cpftd_bm,cohort_imp,cohort_clk,cohort_ins,cohort_act,cohort_spend,cpm_weighted,cpi_weighted,cpftd_weighted,format_spend_share
2025-06-30,2025-06-30,2025-07-06,ANDROID,Statics,RMG,3,$8.86,5.60%,0.56,0.01%,2.63%,$140.96,$15.88,$908.56,810863,87415,567,13,"$7,604.82",9.378675515,13.41238265,584.986228,15.98%
2025-06-30,2025-06-30,2025-07-06,ANDROID,Video,RMG,4,$38.41,37.42%,1.22,0.01%,2.06%,$640.17,$23.42,"$1,205.19",1011296,296270,1337,30,"$39,973.99",39.52748589,29.89827103,1332.466279,84.02%
2025-06-30,2025-06-30,2025-07-06,IOS,Statics,RMG,7,$0.52,0.19%,0.03,0.08%,8.65%,$341.20,$36.61,$341.20,110629017,446813,9618,910,"$64,156.98",0.579929059,6.670511716,70.50217767,32.82%
2025-06-30,2025-06-30,2025-07-06,IOS,Video,RMG,9,$32.89,23.67%,1.33,0.03%,9.63%,$491.70,$24.69,$491.70,4369689,997190,3664,312,"$130,561.78",29.87896494,35.63367479,418.4672578,66.78%
2025-06-30,2025-06-30,2025-07-06,ANDROID,Playables,Sportsbetting,1,,,,,,,,,,,,,$16.41,,,,0.02%
2025-06-30,2025-06-30,2025-07-06,IOS,Playables,Sportsbetting,2,,,,,,,,,,,,,$239.13,,,,0.07%
2025-06-30,2025-06-30,2025-07-06,ANDROID,Statics,Sportsbetting,7,$1.50,1.08%,0.05,0.06%,4.35%,$437.48,$22.82,$437.48,16176977,133655,919,45,"$24,167.53",1.493945938,26.29763774,537.0562018,24.35%
2025-06-30,2025-06-30,2025-07-06,ANDROID,Video,Sportsbetting,7,$27.05,31.82%,1.51,0.03%,8.75%,$335.44,$21.32,$346.28,1637849,531364,1985,162,"$75,053.09",45.82418306,37.81012212,463.2906938,75.63%
2025-06-30,2025-06-30,2025-07-06,IOS,Statics,Sportsbetting,10,$0.38,0.16%,0.03,0.06%,9.41%,$295.84,$17.34,$295.84,166707926,1228963,6784,544,"$134,732.01",0.808192,19.86026121,247.6691398,38.53%
2025-06-30,2025-06-30,2025-07-06,IOS,Video,Sportsbetting,10,$18.24,17.74%,0.40,0.04%,9.57%,$241.11,$26.98,$279.63,15867323,2909457,6233,579,"$214,688.98",13.53025856,34.44392473,370.7927165,61.40%
2025-07-07,2025-07-07,2025-07-13,ANDROID,Playables,RMG,0,,,,,,,,,,,,,$0.00,,,,0.00%
2025-07-07,2025-07-07,2025-07-13,IOS,Playables,RMG,2,,,,,,,,,,,,,"$3,450.76",,,,1.71%
2025-07-07,2025-07-07,2025-07-13,ANDROID,Statics,RMG,3,$6.44,4.76%,0.75,0.01%,1.81%,"$1,195.41",$10.07,"$1,236.11",661176,70473,491,5,"$5,416.29",8.191900798,11.03113687,1083.25764,14.46%
2025-07-07,2025-07-07,2025-07-13,ANDROID,Video,RMG,3,$35.91,37.34%,2.94,0.02%,2.12%,$315.57,$19.13,$431.78,903687,265837,1347,18,"$32,049.07",35.46479314,23.79292689,1780.504029,85.54%
2025-07-07,2025-07-07,2025-07-13,IOS,Statics,RMG,8,$0.51,0.24%,0.04,0.16%,14.81%,$46.23,$19.58,$117.50,111872091,389002,7542,801,"$59,105.44",0.528330507,7.836838851,73.78956131,29.34%
2025-07-07,2025-07-07,2025-07-13,IOS,Video,RMG,10,$29.81,23.03%,0.62,0.03%,8.97%,$242.19,$23.39,$367.34,5735325,1123810,3627,376,"$138,919.50",24.22173054,38.30148792,369.4667465,68.95%
2025-07-07,2025-07-07,2025-07-13,IOS,Playables,Sportsbetting,1,,,,,,,,,,,,,$374.80,,,,0.13%
2025-07-07,2025-07-07,2025-07-13,ANDROID,Playables,Sportsbetting,2,,,,,,,,,,,,,"$4,009.91",,,,3.93%
