utc_week,country,os,vertical,creative_format,cpm,cpi,ftd_rate,cftd,avg_user_spend,total_gross_spend
2025-05-26,USA,ANDROID,Sportsbetting,Statics,0.707549,17.52408352,0.02083333333,977.9878336,593.9653096,3707.244047
2024-10-14,ESP,IOS,Sportsbetting,Video,5.512732,37.64397475,0.1206896552,311.9072193,311.9072193,4366.70107
2025-04-28,USA,ANDROID,Sportsbetting,Video,17.494593,59.9513027,0.1047619048,572.2624349,572.2624349,6294.886784
2025-04-07,USA,ANDROID,RMG,Video,82.54828817,18.37574134,0.0302866242,1440.821958,237.0540709,777102.0368
2025-04-28,USA,IOS,RMG,Video,39.76789608,35.72452077,0.09403754141,856.5291865,388.5244402,1619386.704
2024-09-23,USA,IOS,RMG,Playables,72.56523625,23.89602521,0.02529411765,1500.38377,396.4541734,68104.08445
2024-11-25,GBR,IOS,RMG,Video,21.95689671,35.83722331,0.09344651764,354.9529359,298.8321817,79876.71566
2025-05-05,PHL,ANDROID,RMG,Video,5.516856333,1.963250899,,,10.75979612,19843.3236
2025-03-24,USA,ANDROID,Sportsbetting,Statics,1.304275,113.95036,0,,,683.7021598
2025-04-21,AUS,IOS,Sportsbetting,Video,7.404396,24.33253605,0.2714285714,89.64618546,89.64618546,1703.277524
2025-05-05,AUS,IOS,Sportsbetting,Video,4.97426,23.6168215,0.4193548387,56.31703588,58.56971732,1464.242933
2024-10-14,AUS,ANDROID,RMG,Video,27.46483067,12.3797903,0,,325.7802705,4324.52419
2025-01-27,BRA,IOS,RMG,Statics,0.058207,3.128355414,0,,,635.0561491
2025-08-18,PHL,ANDROID,RMG,Video,11.961567,1.683635891,,,10.29120067,13282.88017
2025-03-17,ESP,IOS,Sportsbetting,Video,4.936945,33.37034718,0.1271929825,262.3599709,262.3599709,7608.439157
2025-03-10,AUS,ANDROID,RMG,Video,16.199409,4.282513269,,,42.21334508,295.4934156
2025-05-19,AUS,IOS,Sportsbetting,Video,8.527367,34.36646383,0.3275862069,104.9081528,104.9081528,1993.254902
2024-09-30,USA,IOS,RMG,Video,43.87273402,25.53435631,0.1099737639,479.2612777,276.471506,1199980.904
2025-05-12,USA,ANDROID,RMG,Playables,95.317361,16.51958587,0,,157.6949113,98288.35215
2025-06-30,USA,IOS,RMG,Statics,1.413147242,29.4103379,0.04269606276,170.738858,278.470389,334065.4229
2024-08-19,GBR,IOS,RMG,Video,24.88109669,25.55006745,0.08340803399,248.5030541,225.2722663,94552.94191
2024-12-23,USA,ANDROID,Sportsbetting,Statics,1.161427,78.06312847,0.2321428571,336.271938,397.4122904,4371.535194
2024-09-23,USA,IOS,Sportsbetting,Statics,0.6818835,16.78640324,0.1549247695,152.3574549,126.8359037,125954.5728
2024-09-09,DEU,ANDROID,RMG,Statics,0.6579565,11.21116183,,,200.7974528,527.2783261
2024-12-02,DEU,ANDROID,Sportsbetting,Video,8.678049,28.80548076,,,101.6664027,1728.328845
2024-10-21,ESP,ANDROID,RMG,Statics,0.207147,4.237246423,,,12.17837083,151.3296782
2025-01-06,ESP,ANDROID,Sportsbetting,Video,4.592732,24.76420543,0.1095238095,226.1079626,226.1079626,5200.48314
2024-12-30,DEU,IOS,Sportsbetting,Video,6.444618,23.48220394,0,,,305.2686512
2024-12-23,ESP,ANDROID,Sportsbetting,Video,3.79609,15.45130148,0.04,386.282537,386.282537,1545.130148
2025-08-04,AUS,ANDROID,RMG,Video,42.9773,17.88687485,,,554.4931202,1108.98624
2025-02-24,BRA,IOS,RMG,Video,5.00453,6.122231277,0,,34.57260015,4114.139418
2025-04-21,ESP,ANDROID,Sportsbetting,Video,4.778403,26.1381033,0.04968944099,526.0293289,526.0293289,4208.234631
2024-12-09,BRA,ANDROID,RMG,Video,9.58165875,2.624812956,,,28.53959611,81481.58006
2025-08-11,GBR,ANDROID,RMG,Playables,52.259907,5.398136023,,,90.00564936,1931.583125
2024-11-25,GBR,ANDROID,RMG,Statics,0.376849375,15.40031135,0.01449275362,424.9624602,230.8327338,2492.998826
2024-11-25,AUS,ANDROID,RMG,Statics,1.349532,13.51232681,,,,135.1232681
2025-04-14,AUS,ANDROID,RMG,Statics,0.123026,2.99630215,,,26.96671935,26.96671935
2025-08-18,GBR,IOS,Sportsbetting,Statics,1.593826667,90.51674351,0.07331217931,240.2475704,1261.652672,76933.65742
2025-01-20,DEU,IOS,RMG,Video,25.80033567,21.44137899,,,192.7132284,10949.86667
2025-03-31,AUS,IOS,RMG,Playables,39.274265,9.587988192,,,297.227634,297.227634
2025-02-17,USA,ANDROID,RMG,Video,66.31969633,17.35953285,0.07587780657,1411.026442,265.6119073,784245.8327
2024-12-30,USA,IOS,RMG,Statics,0.394417615,18.00003388,0.08096590909,891.8660231,240.1673021,453529.7639
2025-04-28,GBR,ANDROID,RMG,Video,35.481159,20.05437289,0.01720647773,245.4379155,295.2351131,96084.00789
2025-04-14,CAN,IOS,RMG,Video,26.42663093,48.93301345,0.03492474916,2941.165135,660.7903897,100724.838
2025-07-07,USA,IOS,Sportsbetting,Video,13.486256,67.42873404,0.06050335048,444.7368454,439.3836722,155319.4219
2025-03-10,CAN,ANDROID,RMG,Statics,0.93100625,13.55557771,,,147.9958375,741.854259
2025-08-11,GBR,ANDROID,RMG,Video,36.113512,17.98163233,0.1163265306,86.14849664,188.1110923,49168.64193
2025-07-07,AUS,ANDROID,Sportsbetting,Statics,0.227794,22.32972843,0.05,446.5945686,446.5945686,446.5945686
2024-08-12,DEU,ANDROID,RMG,Video,24.1755295,10.09228498,,,303.1027639,4498.820744
2024-10-21,USA,ANDROID,Sportsbetting,Statics,1.092044,67.99566015,0.2564102564,265.1830746,265.1830746,2651.830746
2025-06-09,DEU,IOS,Sportsbetting,Video,9.273482,24.15162461,,,,193.2129969
2025-02-10,ESP,ANDROID,RMG,Statics,0.123794,1.954925075,,,,9.774625376
2025-05-12,DEU,IOS,RMG,Video,51.921638,16.06343551,0,,326.2209987,4719.17871
2025-06-09,AUS,IOS,Sportsbetting,Statics,0.260316,32.13301278,0.3046875,105.4621958,109.1953709,12339.07691
2025-05-26,DEU,ANDROID,RMG,Playables,22.895026,3.225745696,,,52.8667031,1163.248674
2025-03-03,USA,IOS,RMG,Statics,0.497867763,24.76264852,0.121886729,188.1179624,268.4133869,662301.9846
2025-05-26,AUS,IOS,RMG,Video,24.689123,23.79086701,,,297.6988207,26889.55522
2024-08-26,GBR,IOS,RMG,Video,24.58816647,25.46858411,0.07659288321,306.0498702,242.3464781,100516.2166
2025-04-07,GBR,IOS,RMG,Video,20.42550278,38.40024795,0.08163785414,331.7166801,274.2706933,103828.4294
2024-08-26,DEU,ANDROID,RMG,Statics,0.583455,9.558117208,,,,407.3906032
2025-04-07,DEU,IOS,RMG,Statics,0.2223765,27.74187469,0.09067357513,208.4517867,620.0581058,9346.879516
2024-12-23,AUS,IOS,RMG,Statics,0.117479333,22.11688693,0,,183.3648469,2167.283643
2025-02-10,GBR,IOS,RMG,Playables,37.485501,13.07577455,0,,152.7394804,13062.23323
2025-03-17,AUS,ANDROID,RMG,Video,12.546216,4.596933684,,,114.9233421,114.9233421
2025-07-28,DEU,IOS,Sportsbetting,Statics,0.427293,17.01710837,0.07475083056,227.6510942,227.6510942,10244.29924
