date,os,vertical,country,total_DAU,total_downloads,total_duration_minutes
2024-10-19,ANDROID,RMG,USA,"671,543","14,703","11,710,135"
2024-10-19,IOS,RMG,USA,"722,045","25,538","7,192,426"
2024-10-19,ANDROID,Sportsbetting,USA,"1,474,320","59,926","14,978,246"
2024-10-19,IOS,Sportsbetting,USA,"3,441,485","131,319","38,577,985"
2024-10-20,ANDROID,RMG,USA,"643,937","12,693","9,571,356"
2024-10-20,IOS,RMG,USA,"735,965","26,233","6,096,888"
2024-10-20,IOS,Sportsbetting,USA,"4,258,317","116,117","52,776,709"
2024-10-20,ANDROID,Sportsbetting,USA,"2,036,709","46,849","36,066,974"
2024-10-21,ANDROID,RMG,USA,"614,128","9,270","9,740,491"
2024-10-21,IOS,RMG,USA,"628,591","17,804","5,317,198"
2024-10-21,IOS,Sportsbetting,USA,"3,974,269","89,759","41,883,659"
2024-10-21,ANDROID,Sportsbetting,USA,"1,734,698","37,560","18,620,198"
2024-10-22,ANDROID,RMG,USA,"647,957","10,406","10,580,744"
2024-10-22,IOS,RMG,USA,"667,253","25,553","6,335,077"
2024-10-22,IOS,Sportsbetting,USA,"3,750,840","144,747","40,935,355"
2024-10-22,ANDROID,Sportsbetting,USA,"1,595,416","38,858","17,708,139"
2024-10-23,ANDROID,RMG,USA,"660,301","10,820","9,973,212"
2024-10-23,IOS,RMG,USA,"706,963","26,420","7,250,759"
2024-10-23,IOS,Sportsbetting,USA,"3,623,610","187,687","36,213,351"
2024-10-23,ANDROID,Sportsbetting,USA,"1,518,925","39,220","16,908,450"
2024-10-24,IOS,RMG,USA,"980,632","28,749","6,437,354"
2024-10-24,ANDROID,RMG,USA,"656,381","8,062","9,741,896"
2024-10-24,ANDROID,Sportsbetting,USA,"1,879,482","41,703","20,609,926"
2024-10-24,IOS,Sportsbetting,USA,"3,773,523","187,181","43,025,295"
2024-10-25,ANDROID,RMG,USA,"626,099","10,042","10,281,030"
2024-10-25,IOS,RMG,USA,"686,654","31,328","8,644,907"
2024-10-25,ANDROID,Sportsbetting,USA,"1,563,345","57,739","14,978,357"
2024-10-25,IOS,Sportsbetting,USA,"3,794,386","228,527","37,916,066"
2024-10-26,IOS,RMG,USA,"753,550","28,978","7,504,339"
2024-10-26,ANDROID,RMG,USA,"661,050","17,267","10,341,871"
2024-10-26,ANDROID,Sportsbetting,USA,"1,521,690","70,814","16,172,972"
2024-10-26,IOS,Sportsbetting,USA,"3,714,080","171,746","42,209,759"
2024-10-27,ANDROID,RMG,USA,"610,316","14,672","9,327,518"
2024-10-27,IOS,RMG,USA,"630,006","22,968","6,097,728"
2024-10-27,ANDROID,Sportsbetting,USA,"2,013,191","49,580","34,774,612"
2024-10-27,IOS,Sportsbetting,USA,"4,021,762","95,380","52,219,799"
2024-10-28,IOS,RMG,USA,"544,731","17,536","5,557,265"
2024-10-28,ANDROID,RMG,USA,"582,191","10,014","9,243,234"
2024-10-28,IOS,Sportsbetting,USA,"3,822,434","146,634","39,839,378"
2024-10-28,ANDROID,Sportsbetting,USA,"1,700,771","33,404","17,749,723"
2024-10-29,ANDROID,RMG,USA,"630,618","7,877","10,354,418"
2024-10-29,IOS,RMG,USA,"574,968","20,205","6,224,132"
2024-10-29,IOS,Sportsbetting,USA,"3,646,667","151,201","38,259,965"
2024-10-29,ANDROID,Sportsbetting,USA,"1,580,308","40,744","17,140,815"
2024-10-30,IOS,RMG,USA,"612,539","25,277","7,586,069"
2024-10-30,ANDROID,RMG,USA,"627,563","8,823","9,290,694"
2024-10-30,IOS,Sportsbetting,USA,"3,477,807","141,323","35,913,107"
2024-10-30,ANDROID,Sportsbetting,USA,"1,482,056","36,973","15,959,586"
2024-10-31,IOS,RMG,USA,"868,102","18,784","6,418,461"
2024-10-31,ANDROID,RMG,USA,"612,683","8,371","9,458,376"
2024-10-31,IOS,Sportsbetting,USA,"3,829,675","116,220","44,613,673"
2024-10-31,ANDROID,Sportsbetting,USA,"1,835,107","31,272","19,677,562"
2024-11-01,IOS,RMG,USA,"603,064","27,061","7,912,094"
2024-11-01,ANDROID,RMG,USA,"587,843","9,711","9,635,437"
2024-11-01,IOS,Sportsbetting,USA,"3,672,053","121,563","38,625,023"
2024-11-01,ANDROID,Sportsbetting,USA,"1,514,224","56,691","13,756,865"
2024-11-02,IOS,RMG,USA,"658,551","30,325","7,571,002"
2024-11-02,ANDROID,RMG,USA,"629,479","24,474","9,750,199"
2024-11-02,IOS,Sportsbetting,USA,"3,819,615","158,959","45,137,515"
2024-11-02,ANDROID,Sportsbetting,USA,"1,479,195","65,333","15,746,069"
2024-11-03,ANDROID,RMG,USA,"615,650","12,960","10,514,324"
2024-11-03,IOS,RMG,USA,"603,797","26,373","5,913,567"
2024-11-03,ANDROID,Sportsbetting,USA,"2,189,081","42,200","36,223,387"
2024-11-03,IOS,Sportsbetting,USA,"3,912,232","173,346","50,611,841"
2024-11-04,ANDROID,RMG,USA,"584,253","8,318","10,306,019"
2024-11-04,IOS,RMG,USA,"523,800","21,253","5,381,666"
2024-11-04,ANDROID,Sportsbetting,USA,"1,817,655","40,252","18,119,900"
2024-11-04,IOS,Sportsbetting,USA,"3,680,251","151,941","38,186,154"
2024-11-05,IOS,RMG,USA,"556,453","21,060","5,864,410"
2024-11-05,ANDROID,RMG,USA,"646,088","9,805","11,481,316"
2024-11-05,IOS,Sportsbetting,USA,"3,563,136","130,872","36,168,725"
