utc_week,country,os,vertical,creative_format,cpm,cpi,ftd_rate,cftd,avg_user_spend,gross_spend_usd,spend_share,unique_bundle_count,,https://moloco.looker.com/explore/ads_bpd_china/fact_dsp_all_joined?qid=kwWfa0cZQn2kEMQOesyzK6,,,WITH main as (WITH fact_dsp_creative AS (
2024-11-11,USA,ANDROID,RMG,Video,82.32495896,18.70561679,0.04148278906,801.6883622,215.9185093,851640.4292,0.802258632,46,,,,,FROM moloco-ae-view.athena.fact_dsp_all f left join moloco-ae-view.athena.dim1_app m on f.product.app_market_bundle = m.app_market_bundle and f.campaign.os = m.os
2024-11-25,USA,IOS,RMG,Statics,0.475386179,26.29516718,0.06713774208,707.75934,231.4563832,306677.9094,0.491401092,28,,,,,left join ads-bpd-guard-sandbox.insights_engine.known_rmg_bundles a on f.product.app_market_bundle = a.app_market_bundle
2024-12-02,GBR,IOS,RMG,Video,16.69747415,37.80326418,0.06541403244,847.995724,576.4061996,85072.57891,0.483891624,13,,,,,WHERE date(timestamp_utc) >= '2024-08-01'
2024-12-02,USA,ANDROID,RMG,Statics,3.545881545,21.85057064,0.1640866873,1019.754475,182.433057,83952.14918,0.2304369,22,,,,,and product.app_market_bundle IN
2024-12-30,USA,IOS,RMG,Video,29.92821266,28.63961051,0.09178246885,965.3596709,295.8152363,1263126.882,0.702073562,38,,,,,(SELECT app_market_bundle FROM ads-bpd-guard-sandbox.insights_engine.known_rmg_bundles)
2025-03-24,USA,ANDROID,RMG,Video,75.52133431,18.31658879,0.08459302326,849.143441,214.8250253,820631.9198,0.828545047,45,,,,,"-- AND product.sub_genre IN ('Casinos & Gambling', 'Fantasy Sports', 'Sports Betting')"
2025-05-05,USA,IOS,RMG,Video,33.73987751,38.95525364,0.08439313583,1011.299174,464.5052234,1671460.24,0.727653529,43,,,,,"AND campaign.country IN ('GBR', 'USA','ESP','AUS','BRA','CAN','PHL','DEU')"
2025-06-09,USA,ANDROID,RMG,Video,80.39985907,22.98679604,0.04024811877,1248.591868,384.2161087,761012.0697,0.817499653,42,,,,,-- AND campaign.country IN ('USA')
2025-08-11,GBR,IOS,Sportsbetting,Video,21.61459767,35.70890494,0.07151831031,325.2568076,398.3819007,52886.76938,0.429190439,3,,,,,and (UPPER(event.name) like '%FIRST%' and UPPER(event.name) like '%DEPOSIT%')
2024-10-21,USA,IOS,RMG,Video,37.70725117,28.36485256,0.1262670696,953.6381149,334.0101591,1169791.399,0.755540699,41,,,,,
