date,country,os,vertical,creative_format,cpm,cpi,ftd_rate,cftd,avg_user_spend,total_gross_spend
2024-08-23,USA,ANDROID,RMG,Statics,1.828137216,14.61111891,0,,98.10646093,14378.22837
2024-08-23,USA,ANDROID,RMG,Playables,85.1828415,13.22585954,0,,178.953762,2157.450099
2024-08-24,USA,IOS,Sportsbetting,Statics,0.87846925,11.49509873,0.1038750553,339.623979,55.09472232,20739.64224
2024-08-24,USA,IOS,Sportsbetting,Video,30.00281367,71.69741582,0.1383993307,344.9121364,316.9970673,35603.02455
2024-08-24,USA,IOS,RMG,Video,43.57704744,22.18127504,0.1504819027,496.2731415,253.6063273,211601.0707
2024-08-24,USA,ANDROID,RMG,Video,65.34161955,14.64594698,0.05129583147,576.1132759,241.9732597,118882.7514
2024-08-24,USA,ANDROID,Sportsbetting,Video,43.871106,53.87685169,0.07142857143,754.2759236,754.2759236,1508.551847
2024-08-24,USA,IOS,RMG,Statics,0.512604079,18.90981645,0.1166598626,304.2543129,174.0157965,55150.36366
2024-08-24,USA,ANDROID,RMG,Playables,87.7855684,9.143959416,0,,91.28919514,1996.642584
2024-08-24,USA,IOS,Sportsbetting,Playables,28.44847,16.21977685,0,,28.83515885,778.5492888
2024-08-24,USA,ANDROID,RMG,Statics,1.748386838,19.41070742,0,,64.29886882,11956.07636
2024-08-24,USA,IOS,RMG,Playables,67.3735034,16.80092888,0,,214.2935902,9926.934857
2024-08-24,USA,ANDROID,Sportsbetting,Statics,1.544809,60.3625659,0.1111111111,543.2630931,543.2630931,543.2630931
2024-08-25,USA,ANDROID,RMG,Video,65.8218143,15.25198446,0.07458222038,584.4277489,231.8941511,114145.0291
2024-08-25,USA,IOS,Sportsbetting,Video,28.78126267,76.20825352,0.1241896759,407.7581251,355.8643102,24137.77914
