date_utc,os,state,subgenre,gross_spend,installs,d7_users,cpm,cpi,spend_share_state_level,avg_user_spend,unique_app_bundles
2024-08-04,IOS,IL,Sportsbetting,576.062532,158,156,2.24335646,3.645965392,8.56%,3.692708538,1
2024-08-04,IOS,KS,Sportsbetting,13.639616,2,8,0.81860617,6.819808,0.20%,1.704952,1
2024-08-04,IOS,KY,Sportsbetting,81.884496,18,12,1.547384557,4.549138667,1.22%,6.823708,1
2024-08-04,IOS,LA,Sportsbetting,179.89973,62,116,1.47987669,2.901608548,2.67%,1.550859741,1
2024-08-04,IOS,MA,Sportsbetting,298.466274,62,28,2.584481608,4.813972161,4.44%,10.65950979,1
2024-08-04,IOS,MD,Sportsbetting,322.841834,90,68,2.392590704,3.587131489,4.80%,4.747674029,1
2024-08-04,IOS,ME,Sportsbetting,49.639688,4,,1.4219332,12.409922,0.74%,,1
2024-08-04,IOS,MI,RMG,1801.868614,28,6,5.205666599,64.3524505,29.70%,300.3114357,1
2024-08-04,ANDROID,MI,Sportsbetting,2964.981418,64,6,10.32267318,46.32783466,41.92%,494.1635697,1
2024-08-04,IOS,MI,Sportsbetting,484.509508,188,174,2.490923387,2.577178234,7.20%,2.784537402,1
2024-08-04,IOS,NC,Sportsbetting,1541.843462,158,24,3.091043608,9.758502924,22.92%,64.24347758,1
2024-08-04,IOS,NJ,Sportsbetting,375.92994,96,54,2.888347189,3.915936875,5.59%,6.961665556,1
2024-08-04,IOS,NJ,RMG,894.724352,10,2,6.411864184,89.4724352,14.75%,447.362176,1
2024-08-04,ANDROID,NJ,Sportsbetting,777.038484,20,2,11.77438076,38.8519242,10.99%,388.519242,1
2024-08-04,IOS,NY,Sportsbetting,877.513434,280,498,2.14738924,3.13397655,13.04%,1.762075169,1
2024-08-04,IOS,OH,Sportsbetting,316.453652,110,26,2.07097754,2.876851382,4.70%,12.17129431,1
2024-08-04,IOS,PA,Sportsbetting,314.785122,164,74,1.79444495,1.919421476,4.68%,4.253853,1
2024-08-04,ANDROID,PA,Sportsbetting,2520.254486,62,6,10.95972484,40.6492659,35.64%,420.0424143,1
2024-08-04,IOS,PA,RMG,2444.77458,38,2,5.984906803,64.33617316,40.30%,1222.38729,1
2024-08-04,IOS,TN,Sportsbetting,191.164316,52,6,1.639150741,3.676236846,2.84%,31.86071933,1
2024-08-04,IOS,VA,Sportsbetting,145.22405,58,16,1.412465472,2.503862931,2.16%,9.076503125,1
2024-08-04,IOS,VT,Sportsbetting,12.207636,2,,1.292086791,6.103818,0.18%,,1
2024-08-04,IOS,WV,RMG,372.034684,12,,10.29312428,31.00289033,6.13%,,1
2024-08-04,ANDROID,WV,Sportsbetting,421.0958,6,,18.08364683,70.18263333,5.95%,,1
2024-08-04,IOS,WV,Sportsbetting,40.174612,12,72,2.787967523,3.347884333,0.60%,0.557980722,1
2024-08-04,IOS,WY,Sportsbetting,9.162076,2,,0.979901176,4.581038,0.14%,,1
2024-08-05,IOS,AZ,Sportsbetting,239.681672,28,28,1.520051192,8.560059714,5.55%,8.560059714,1
2024-08-05,IOS,CO,Sportsbetting,194.105792,28,22,1.222390246,6.932349714,4.49%,8.822990545,1
2024-08-05,IOS,CT,Sportsbetting,78.806578,32,16,1.98475238,2.462705563,1.82%,4.925411125,1
2024-08-05,ANDROID,CT,Sportsbetting,276.48124,14,2,9.802908807,19.74866,4.59%,138.24062,1
2024-08-05,IOS,CT,RMG,521.464416,12,,6.022780901,43.455368,8.63%,,1
2024-08-05,IOS,IA,Sportsbetting,37.628946,10,2,1.081478013,3.7628946,0.87%,18.814473,1
2024-08-05,IOS,IL,Sportsbetting,347.638642,90,130,1.549523258,3.862651578,8.05%,2.6741434,1
2024-08-05,IOS,KS,Sportsbetting,11.356046,4,2,0.913893932,2.8390115,0.26%,5.678023,1
2024-08-05,IOS,KY,Sportsbetting,52.611848,12,,1.281091068,4.384320667,1.22%,,1
2024-08-05,IOS,LA,Sportsbetting,125.864352,54,66,1.170199818,2.330821333,2.91%,1.907035636,1
2024-08-05,IOS,MA,Sportsbetting,176.204726,36,54,2.156570215,4.894575722,4.08%,3.263050481,1
2024-08-05,IOS,MD,Sportsbetting,189.287092,94,54,1.849120724,2.013692468,4.38%,3.505316519,1
2024-08-05,IOS,ME,Sportsbetting,34.810454,4,,1.282247458,8.7026135,0.81%,,1
2024-08-05,IOS,MI,Sportsbetting,314.798142,98,64,1.818108082,3.212225939,7.29%,4.918720969,1
2024-08-05,IOS,MI,RMG,1901.167962,58,,5.178544475,32.77875797,31.46%,,1
2024-08-05,ANDROID,MI,Sportsbetting,2610.1813,42,6,10.35186479,62.14717381,43.35%,435.0302167,1
2024-08-05,IOS,NC,Sportsbetting,1082.43114,94,2,2.350229588,11.51522489,25.06%,541.21557,1
2024-08-05,ANDROID,NJ,Sportsbetting,668.263126,16,4,12.12994856,41.76644538,11.10%,167.0657815,1
2024-08-05,IOS,NJ,RMG,883.83352,14,2,6.561203807,63.13096571,14.62%,441.91676,1
