date,os,subgenre,format,total_gross_spend,total_installs,avg_cpi,avg_cpm,avg_spend_share,avg_user_spend,count_of_bundles,country
2024-08-19,IOS,RMG,Playables,179.3046553,2,89.65232767,91.48196701,0.024767053,,1,U.S.
2024-08-19,ANDROID,RMG,Statics,566.3604284,28,26.70414842,1.056299965,0.034768856,,3,U.S.
2024-08-19,ANDROID,Sportsbetting,Statics,1925.578851,28,74.20483691,1.941222748,0.427081578,496.6673766,2,U.S.
2024-08-19,ANDROID,Sportsbetting,Video,10712.20342,166,36.07632999,49.62034418,0.468147323,1335.79172,2,U.S.
2024-08-19,ANDROID,RMG,Video,18965.18905,982,19.27605214,54.58600739,0.973923358,720.7422365,4,U.S.
2024-08-19,IOS,Sportsbetting,Video,25628.77739,494,55.36550617,27.03871513,0.689809865,558.8214356,4,U.S.
2024-08-19,IOS,RMG,Video,28940.30664,668,68.64214244,28.1163693,0.778339632,468.9085699,4,U.S.
2024-08-19,IOS,RMG,Statics,5859.07266,244,37.68925121,0.406709219,0.287291473,154.7835398,3,U.S.
2024-08-19,IOS,Sportsbetting,Statics,24359.04735,1604,10.6874724,0.875917836,0.336620307,98.63724989,3,U.S.
2024-08-20,IOS,Sportsbetting,Playables,8451.573598,316,26.74548607,25.80759243,0.348230575,67.07598094,1,U.S.
2024-08-20,ANDROID,RMG,Statics,509.9519742,54,12.9330424,1.063166834,0.031141744,104.6923747,3,U.S.
2024-08-20,IOS,Sportsbetting,Statics,22526.55179,1560,19.78267991,1.632331485,0.275529598,141.7543815,4,U.S.
2024-08-20,ANDROID,Sportsbetting,Video,11524.60739,168,68.33709221,51.98112609,0.734622242,1321.535711,2,U.S.
2024-08-20,ANDROID,Sportsbetting,Statics,1669.608657,18,91.75701291,1.537059283,0.236874822,503.7411252,2,U.S.
2024-08-20,ANDROID,RMG,Video,18555.50484,974,20.70075201,54.3197804,0.976643692,556.6347973,4,U.S.
2024-08-20,IOS,Sportsbetting,Video,35583.46509,930,45.66034763,27.45011718,0.637412759,338.5488458,4,U.S.
2024-08-20,IOS,RMG,Video,32040.8338,830,52.27644318,31.26484286,0.823331937,1399.936597,4,U.S.
2024-08-20,IOS,RMG,Statics,4885.360785,258,44.14548819,0.420141604,0.229841785,142.4310717,3,U.S.
2024-08-21,IOS,Sportsbetting,Playables,7774.441582,378,20.56730577,24.32523242,0.351159156,48.59025989,1,U.S.
2024-08-21,ANDROID,RMG,Statics,504.3371027,52,10.36764906,1.122856387,0.033332695,,3,U.S.
2024-08-21,IOS,Sportsbetting,Statics,24547.78914,1498,15.03116493,1.63046575,0.285043315,128.0047532,4,U.S.
2024-08-21,ANDROID,Sportsbetting,Statics,1616.98677,22,67.62436346,1.511473807,0.156174849,,2,U.S.
2024-08-21,ANDROID,Sportsbetting,Video,12408.73406,178,62.76435118,54.49744172,0.842576828,738.1730636,2,U.S.
2024-08-21,ANDROID,RMG,Video,18137.32161,964,20.4181135,55.06906509,0.975000479,2376.275625,4,U.S.
2024-08-21,IOS,Sportsbetting,Video,38232.48442,946,57.61886272,26.77631292,0.627166896,377.5645721,4,U.S.
2024-08-21,IOS,RMG,Video,30765.36607,696,69.24634773,32.43918587,0.787402584,1451.656197,4,U.S.
2024-08-21,IOS,RMG,Statics,5886.927078,276,76.62779281,0.468627418,0.278441314,193.7178917,3,U.S.
2024-08-22,IOS,Sportsbetting,Playables,1810.514861,114,15.88170931,20.50877731,0.0641716,39.35901872,1,U.S.
2024-08-22,ANDROID,Sportsbetting,Video,14024.07644,304,46.67621443,43.43174791,0.856550356,525.7526303,3,U.S.
2024-08-22,ANDROID,Sportsbetting,Statics,1789.961307,30,50.78359139,1.765233862,0.14295045,,3,U.S.
2024-08-22,ANDROID,RMG,Statics,558.1692161,48,12.71416415,1.300836575,0.036328091,89.00365176,3,U.S.
2024-08-22,IOS,Sportsbetting,Statics,35659.11108,2056,13.20531898,1.618403515,0.47211471,50.23977846,5,U.S.
