date,os,grouped_category,MAU,DAU,country
2024-03-06,ANDROID,RMG,4675006,796152,U.S.
2024-03-06,IOS,Sportsbetting,12384182,1574441,U.S.
2024-03-06,ANDROID,Sportsbetting,2992123,591188,U.S.
2024-03-07,IOS,RMG,6174160,1157795,U.S.
2024-03-07,ANDROID,RMG,4675006,808941,U.S.
2024-03-07,IOS,Sportsbetting,12384182,1727477,U.S.
2024-03-07,ANDROID,Sportsbetting,2992123,633818,U.S.
2024-03-08,IOS,RMG,6174160,1057190,U.S.
2024-03-08,ANDROID,RMG,4675006,747956,U.S.
2024-03-08,IOS,Sportsbetting,12384182,1777978,U.S.
2024-03-08,ANDROID,Sportsbetting,2992123,626733,U.S.
2024-03-09,IOS,RMG,6174160,1240182,U.S.
2024-03-09,ANDROID,RMG,4675006,824628,U.S.
2024-03-09,IOS,Sportsbetting,12384182,1916049,U.S.
2024-03-09,ANDROID,Sportsbetting,2992123,711140,U.S.
2024-03-10,IOS,RMG,6174160,1167803,U.S.
2024-03-10,ANDROID,RMG,4675006,778203,U.S.
2024-03-10,IOS,Sportsbetting,12384182,2019120,U.S.
2024-03-10,ANDROID,Sportsbetting,2992123,868955,U.S.
2024-03-11,IOS,RMG,6174160,968477,U.S.
2024-03-11,ANDROID,RMG,4675006,759155,U.S.
2024-03-11,IOS,Sportsbetting,12384182,1880324,U.S.
2024-03-11,ANDROID,Sportsbetting,2992123,726544,U.S.
2024-03-12,IOS,RMG,6174160,1051677,U.S.
2024-03-12,ANDROID,RMG,4675006,781272,U.S.
2024-03-12,IOS,Sportsbetting,12384182,1718512,U.S.
2024-03-12,ANDROID,Sportsbetting,2992123,654644,U.S.
2024-03-13,IOS,RMG,6174160,1145733,U.S.
2024-03-13,ANDROID,RMG,4675006,797040,U.S.
2024-03-13,IOS,Sportsbetting,12384182,1716574,U.S.
2024-03-13,ANDROID,Sportsbetting,2992123,608692,U.S.
2024-03-14,IOS,RMG,6174160,1158030,U.S.
2024-03-14,ANDROID,RMG,4675006,803205,U.S.
2024-03-14,IOS,Sportsbetting,12384182,1846351,U.S.
2024-03-14,ANDROID,Sportsbetting,2992123,649940,U.S.
2024-03-15,IOS,RMG,6174160,1075488,U.S.
2024-03-15,ANDROID,RMG,4675006,752633,U.S.
2024-03-15,IOS,Sportsbetting,12384182,1865739,U.S.
2024-03-15,ANDROID,Sportsbetting,2992123,647747,U.S.
2024-03-16,IOS,RMG,6174160,1259923,U.S.
2024-03-16,ANDROID,RMG,4675006,825366,U.S.
2024-03-16,IOS,Sportsbetting,12384182,2053572,U.S.
2024-03-16,ANDROID,Sportsbetting,2992123,735380,U.S.
2024-03-17,IOS,RMG,6174160,1288432,U.S.
